show_id,type,title,director,,country,date_added,Release year,rating,duration,genre,RatingCategory
s32,TV Show,Chicago Party Aunt,Not Available,,Not Available,01-09-2017,2021,TV-MA,1 Season,TV Comedies,Adults
s33,TV Show,Sex Education,Not Available,,United Kingdom,01-09-2017,2021,TV-MA,3 Seasons,"British TV Shows, International TV Shows, TV Comedies",Adults
s34,TV Show,Squid Game,Not Available,,Not Available,01-09-2017,2021,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Thrillers",Adults
s35,TV Show,Tayo and Little Wizards,Not Available,,Not Available,01-09-2017,2021,TV-Y7,1 Season,Kids' TV,Kids
s36,Movie,The Father Who Moves Mountains,Daniel Sandu,,Not Available,01-09-2017,2021,TV-MA,110 min,"Dramas, International Movies, Thrillers",Adults
s37,Movie,The Stronghold,Cédric Jimenez,,Not Available,01-09-2017,2021,TV-MA,105 min,"Action & Adventure, Dramas, International Movies",Adults
s38,TV Show,Angry Birds,Not Available,,Finland,01-09-2016,2021,TV-Y7,1 Season,"Kids' TV, TV Comedies",Kids
s39,Movie,Birth of the Dragon,George Nolfi,,"China, Canada, United States",01-09-2016,2021,PG-13,96 min,"Action & Adventure, Dramas",Teens
s40,TV Show,Chhota Bheem,Not Available,,India,01-09-2016,2021,TV-Y7,3 Seasons,Kids' TV,Kids
s41,TV Show,He-Man and the Masters of the Universe,Not Available,,United States,01-09-2016,2021,TV-Y7,1 Season,"Kids' TV, TV Sci-Fi & Fantasy",Kids
s42,Movie,Jaws,Steven Spielberg,,United States,01-09-2016,2021,PG,124 min,"Action & Adventure, Classic Movies, Dramas",Teens
s43,Movie,Jaws 2,Jeannot Szwarc,,United States,01-09-2016,2021,PG,116 min,"Dramas, Horror Movies, Thrillers",Teens
s44,Movie,Jaws 3,Joe Alves,,United States,01-09-2016,2021,PG,98 min,"Action & Adventure, Horror Movies, Thrillers",Teens
s45,Movie,Jaws: The Revenge,Joseph Sargent,,United States,01-09-2016,2021,PG-13,91 min,"Action & Adventure, Horror Movies, Thrillers",Teens
s46,Movie,My Heroes Were Cowboys,Tyler Greco,,Not Available,01-09-2016,2021,PG,23 min,Documentaries,Teens
s47,Movie,Safe House,Daniel Espinosa,,"South Africa, United States, Japan",01-09-2016,2021,R,115 min,Action & Adventure,Adults
s48,TV Show,The Smart Money Woman,Bunmi Ajakaiye,,Not Available,01-09-2016,2021,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",Adults
s49,Movie,Training Day,Antoine Fuqua,,United States,01-09-2016,2021,R,122 min,"Dramas, Thrillers",Adults
s50,TV Show,Castle and Castle,Not Available,,Nigeria,01-09-2015,2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas",Adults
s51,TV Show,Dharmakshetra,Not Available,,India,01-09-2015,2021,TV-PG,1 Season,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",Teens
s52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Toshiya Shinohara,,Japan,01-09-2015,2021,TV-14,99 min,"Action & Adventure, Anime Features, International Movies",Teens
s53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Toshiya Shinohara,,Japan,01-09-2015,2021,TV-14,99 min,"Action & Adventure, Anime Features, International Movies",Teens
s54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,Toshiya Shinohara,,Japan,01-09-2015,2021,TV-PG,88 min,"Action & Adventure, Anime Features, International Movies",Teens
s55,Movie,InuYasha the Movie: Affections Touching Across Time,Toshiya Shinohara,,Japan,01-09-2015,2021,TV-PG,100 min,"Action & Adventure, Anime Features, International Movies",Teens
s56,TV Show,Nailed It,Not Available,,United States,01-09-2015,2021,TV-PG,6 Seasons,Reality TV,Teens
s57,Movie,Naruto Shippuden the Movie: Blood Prison,Masahiko Murata,,Japan,01-09-2015,2021,TV-14,102 min,"Action & Adventure, Anime Features, International Movies",Teens
s58,Movie,Naruto Shippûden the Movie: Bonds,Hajime Kamegaki,,Japan,01-09-2015,2021,TV-PG,93 min,"Action & Adventure, Anime Features, International Movies",Teens
s59,Movie,Naruto Shippûden the Movie: The Will of Fire,Masahiko Murata,,Japan,01-09-2015,2021,TV-PG,96 min,"Action & Adventure, Anime Features, International Movies",Teens
s60,Movie,Naruto Shippuden: The Movie,Hajime Kamegaki,,Japan,01-09-2015,2021,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies",Teens
s61,Movie,Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata,,Japan,01-09-2015,2021,TV-14,85 min,"Action & Adventure, Anime Features, International Movies",Teens
s62,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Hirotsugu Kawasaki,,Japan,01-09-2015,2021,TV-PG,97 min,"Action & Adventure, Anime Features, International Movies",Teens
s63,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Toshiyuki Tsuru,,Japan,01-09-2015,2021,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies",Teens
s64,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,Tensai Okamura,,Japan,01-09-2015,2021,TV-PG,83 min,"Action & Adventure, Anime Features, International Movies",Teens
s65,Movie,Nightbooks,David Yarovesky,,Not Available,01-09-2015,2021,TV-PG,103 min,Children & Family Movies,Teens
s66,TV Show,Numberblocks,Not Available,,United Kingdom,01-09-2015,2021,TV-Y,6 Seasons,Kids' TV,Kids
s67,TV Show,Raja Rasoi Aur Anya Kahaniyan,Not Available,,India,01-09-2015,2021,TV-G,1 Season,"Docuseries, International TV Shows",Adults
s68,TV Show,Saved by the Bell,Not Available,,United States,01-09-2015,2021,TV-PG,9 Seasons,"Kids' TV, TV Comedies",Teens
s69,Movie,Schumacher,"Hanns-Bruno Kammertöns, Vanessa Nöcker, Michael Wech",,Not Available,01-09-2015,2021,TV-14,113 min,"Documentaries, International Movies, Sports Movies",Teens
s70,TV Show,Stories by Rabindranath Tagore,Not Available,,India,01-09-2015,2021,TV-PG,1 Season,"International TV Shows, TV Dramas",Teens
s71,TV Show,Too Hot To Handle: Latino,Not Available,,Not Available,01-09-2015,2021,TV-MA,1 Season,"International TV Shows, Reality TV, Romantic TV Shows",Adults
s72,Movie,A StoryBots Space Adventure,David A. Vargas,,Not Available,01-09-2014,2021,TV-Y,13 min,Children & Family Movies,Kids
s73,TV Show,Jack Whitehall: Travels with My Father,Not Available,,United Kingdom,01-09-2014,2021,TV-MA,5 Seasons,"British TV Shows, Docuseries, International TV Shows",Adults
s74,Movie,King of Boys,Kemi Adetiba,,Nigeria,01-09-2014,2021,TV-MA,182 min,"Dramas, International Movies",Adults
s75,TV Show,The World's Most Amazing Vacation Rentals,Not Available,,Not Available,01-09-2014,2021,TV-PG,2 Seasons,Reality TV,Teens
s76,Movie,You vs. Wild: Out Cold,Ben Simms,,Not Available,01-09-2014,2021,TV-G,106 min,Children & Family Movies,Adults
s77,TV Show,Yowamushi Pedal,Not Available,,Japan,01-09-2014,2021,TV-14,1 Season,"Anime Series, International TV Shows",Teens
s78,Movie,Little Singham - Black Shadow,Prakash Satam,,Not Available,01-09-2011,2021,TV-Y7,48 min,"Children & Family Movies, Comedies",Kids
s79,Movie,Tughlaq Durbar,Delhiprasad Deenadayalan,,Not Available,01-09-2011,2021,TV-14,145 min,"Comedies, Dramas, International Movies",Teens
s80,Movie,Tughlaq Durbar (Telugu),Delhiprasad Deenadayalan,,Not Available,01-09-2011,2021,TV-14,145 min,"Comedies, Dramas, International Movies",Teens
s81,Movie,Firedrake the Silver Dragon,Tomer Eshed,,Not Available,01-09-2010,2021,TV-Y7,93 min,Children & Family Movies,Kids
s82,Movie,Kate,Cedric Nicolas-Troyan,,United States,01-09-2010,2021,R,106 min,Action & Adventure,Adults
s83,TV Show,Lucifer,Not Available,,United States,01-09-2010,2021,TV-14,6 Seasons,"Crime TV Shows, TV Comedies, TV Dramas",Teens
s84,TV Show,Metal Shop Masters,Not Available,,Not Available,01-09-2010,2021,TV-MA,1 Season,Reality TV,Adults
s85,Movie,Omo Ghetto: the Saga,"JJC Skillz, Funke Akindele",,Nigeria,01-09-2010,2021,TV-MA,147 min,"Action & Adventure, Comedies, Dramas",Adults
s86,TV Show,Pokémon Master Journeys: The Series,Not Available,,Not Available,01-09-2010,2021,TV-Y7,1 Season,"Anime Series, Kids' TV",Kids
s87,Movie,Prey,Thomas Sieben,,Not Available,01-09-2010,2021,TV-MA,87 min,"International Movies, Thrillers",Adults
s88,TV Show,Titipo Titipo,Not Available,,Not Available,01-09-2010,2021,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows",Kids
s89,Movie,Blood Brothers: Malcolm X & Muhammad Ali,Marcus Clarke,,Not Available,01-09-2009,2021,PG-13,96 min,"Documentaries, Sports Movies",Teens
s90,TV Show,Mighty Raju,Not Available,,Not Available,01-09-2009,2021,TV-Y7,4 Seasons,Kids' TV,Kids
s91,Movie,Paradise Hills,Alice Waddington,,"Spain, United States",01-09-2009,2021,TV-MA,95 min,"Sci-Fi & Fantasy, Thrillers",Adults
s92,Movie,The Women and the Murderer,"Mona Achache, Patricia Tourancheau",,France,01-09-2009,2021,TV-14,92 min,"Documentaries, International Movies",Teens
s93,TV Show,Into the Night,Not Available,,Belgium,01-09-2008,2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries",Adults
s94,Movie,JJ+E,Alexis Almström,,Not Available,01-09-2008,2021,TV-MA,91 min,"Dramas, International Movies, Romantic Movies",Adults
s95,Movie,Show Dogs,Raja Gosnell,,"United Kingdom, United States",01-09-2008,2021,PG,90 min,"Children & Family Movies, Comedies",Teens
s96,TV Show,The Circle,Not Available,,"United States, United Kingdom",01-09-2008,2021,TV-MA,3 Seasons,Reality TV,Adults
s97,Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak,,United States,01-09-2007,2021,TV-MA,97 min,"Documentaries, Music & Musicals",Adults
s98,TV Show,Kid Cosmic,Not Available,,United States,01-09-2007,2021,TV-Y7,2 Seasons,"Kids' TV, TV Comedies, TV Sci-Fi & Fantasy",Kids
s99,TV Show,Octonauts: Above & Beyond,Not Available,,United Kingdom,01-09-2007,2021,TV-Y,1 Season,"British TV Shows, Kids' TV",Kids
s100,TV Show,On the Verge,Not Available,,"France, United States",01-09-2007,2021,TV-MA,1 Season,"TV Comedies, TV Dramas",Adults
s101,TV Show,Tobot Galaxy Detectives,Not Available,,Not Available,01-09-2007,2021,TV-Y7,2 Seasons,Kids' TV,Kids
s102,Movie,Untold: Breaking Point,"Chapman Way, Maclain Way",,United States,01-09-2007,2021,TV-MA,80 min,"Documentaries, Sports Movies",Adults
s103,TV Show,Countdown: Inspiration4 Mission to Space,Jason Hehir,,Not Available,01-09-2006,2021,TV-14,1 Season,"Docuseries, Science & Nature TV",Teens
s104,Movie,Shadow Parties,Yemi Amodu,,Not Available,01-09-2006,2021,TV-MA,117 min,"Dramas, International Movies, Thrillers",Adults
s105,TV Show,Tayo the Little Bus,Not Available,,South Korea,01-09-2006,2021,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows",Kids
s106,Movie,Angamaly Diaries,Lijo Jose Pellissery,,India,01-09-2005,2021,TV-14,128 min,"Action & Adventure, Comedies, Dramas",Teens
s107,TV Show,Bunk'd,Not Available,,United States,01-09-2005,2021,TV-G,5 Seasons,"Kids' TV, TV Comedies",Adults
s108,Movie,A Champion Heart,David de Vos,,United States,01-09-2004,2021,G,90 min,"Children & Family Movies, Dramas",Kids
s109,TV Show,Dive Club,Not Available,,Australia,01-09-2003,2021,TV-G,1 Season,"Kids' TV, TV Dramas, Teen TV Shows",Adults
s110,TV Show,La casa de papel,Not Available,,Spain,01-09-2003,2021,TV-MA,5 Seasons,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Adults
s111,TV Show,Money Heist: From Tokyo to Berlin,"Luis Alfaro, Javier Gómez Santander",,Not Available,01-09-2003,2021,TV-MA,1 Season,"Docuseries, International TV Shows, Spanish-Language TV Shows",Adults
s112,TV Show,Sharkdog,Not Available,,"United States, Singapore",01-09-2003,2021,TV-Y,1 Season,Kids' TV,Kids
s113,Movie,Worth,Sara Colangelo,,Not Available,01-09-2003,2021,PG-13,119 min,Dramas,Teens
s114,Movie,Afterlife of the Party,Stephen Herek,,Not Available,01-09-2002,2021,TV-PG,110 min,"Comedies, Romantic Movies",Teens
s115,Movie,Anjaam,Rahul Rawail,,India,01-09-2002,2021,TV-14,143 min,"Dramas, International Movies, Thrillers",Teens
s116,Movie,Bright Star,Jane Campion,,"United Kingdom, Australia, France",01-09-2002,2021,PG,119 min,"Dramas, Romantic Movies",Teens
s117,Movie,Dhanak,Nagesh Kukunoor,,India,01-09-2002,2021,TV-PG,114 min,"Comedies, Dramas, Independent Movies",Teens
s118,Movie,Final Account,Luke Holland,,"United Kingdom, United States",01-09-2002,2021,PG-13,94 min,Documentaries,Teens
s119,Movie,Gurgaon,Shanker Raman,,India,01-09-2002,2021,TV-14,106 min,"Dramas, International Movies, Thrillers",Teens
s120,Movie,Here and There,JP Habac,,Not Available,01-09-2002,2021,TV-MA,99 min,"Dramas, International Movies, Romantic Movies",Adults
s121,TV Show,Heroes of Goo Jit Zu,Not Available,,Australia,01-09-2002,2021,TV-Y7,1 Season,"Kids' TV, TV Comedies",Kids
s122,TV Show,Hotel Del Luna,Not Available,,Not Available,01-09-2002,2021,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",Teens
s123,Movie,In the Cut,Jane Campion,,"United Kingdom, Australia, France, United States",01-09-2002,2021,R,118 min,Thrillers,Adults
s124,TV Show,Luv Kushh,Not Available,,Not Available,01-09-2002,2021,TV-Y7,1 Season,Kids' TV,Kids
s125,TV Show,Pororo - The Little Penguin,Not Available,,South Korea,01-09-2002,2021,TV-Y7,3 Seasons,"Kids' TV, Korean TV Shows",Kids
s126,TV Show,Q-Force,Not Available,,United States,01-09-2002,2021,TV-MA,1 Season,"Crime TV Shows, TV Action & Adventure, TV Comedies",Adults
s127,Movie,Shikara,Vidhu Vinod Chopra,,India,01-09-2002,2021,TV-14,115 min,"Dramas, International Movies, Romantic Movies",Teens
s128,Movie,A Cinderella Story,Mark Rosman,,"United States, Canada",01-09-2001,2021,PG,95 min,"Children & Family Movies, Comedies",Teens
s129,Movie,Agatha Christie's Crooked House,Gilles Paquet-Brenner,,Not Available,01-09-2001,2021,PG-13,115 min,"Dramas, International Movies, Thrillers",Teens
s130,Movie,An Unfinished Life,Lasse Hallström,,"Germany, United States",01-09-2001,2021,PG-13,108 min,Dramas,Teens
s131,Movie,Barbie Big City Big Dreams,Scott Pleydell-Pearce,,Not Available,01-09-2001,2021,TV-Y,63 min,"Children & Family Movies, Music & Musicals",Kids
s132,Movie,Blade Runner: The Final Cut,Ridley Scott,,United States,01-09-2001,2021,R,117 min,"Action & Adventure, Classic Movies, Cult Movies",Adults
s133,TV Show,Brave Animated Series,Not Available,,Not Available,01-09-2001,2021,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Comedies",Adults
s134,Movie,Chappie,Neill Blomkamp,,"South Africa, United States",01-09-2001,2021,R,121 min,"Action & Adventure, Sci-Fi & Fantasy",Adults
s135,Movie,Clear and Present Danger,Phillip Noyce,,"United States, Mexico",01-09-2001,2021,PG-13,142 min,"Action & Adventure, Dramas",Teens
s136,Movie,Cliffhanger,Renny Harlin,,"United States, Italy, France, Japan",01-09-2001,2021,R,113 min,Action & Adventure,Adults
s137,Movie,Cold Mountain,Anthony Minghella,,"United States, Italy, Romania, United Kingdom",01-09-2001,2021,R,154 min,"Dramas, Romantic Movies",Adults
s138,Movie,Crocodile Dundee in Los Angeles,Simon Wincer,,"Australia, United States",01-09-2001,2021,PG,95 min,"Action & Adventure, Comedies",Teens
s139,Movie,Dear John,Lasse Hallström,,United States,01-09-2001,2021,PG-13,108 min,"Dramas, Romantic Movies",Teens
s140,Movie,Do the Right Thing,Spike Lee,,United States,01-09-2001,2021,R,120 min,"Classic Movies, Comedies, Dramas",Adults
s141,Movie,"El patrón, radiografía de un crimen",Sebastián Schindel,,"Argentina, Venezuela",01-09-2001,2021,TV-MA,100 min,"Dramas, International Movies, Thrillers",Adults
s142,Movie,Extraction,Steven C. Miller,,"United States, United Kingdom, Canada",01-09-2001,2021,R,82 min,Action & Adventure,Adults
s143,Movie,Freedom Writers,Richard LaGravenese,,"Germany, United States",01-09-2001,2021,PG-13,124 min,Dramas,Teens
s144,Movie,Green Lantern,Martin Campbell,,United States,01-09-2001,2021,PG-13,114 min,"Action & Adventure, Sci-Fi & Fantasy",Teens
s145,Movie,House Party,Reginald Hudlin,,United States,01-09-2001,2021,R,104 min,"Comedies, Cult Movies",Adults
s146,Movie,House Party 2,"George Jackson, Doug McHenry",,United States,01-09-2001,2021,R,94 min,"Comedies, Cult Movies, Music & Musicals",Adults
s147,Movie,House Party 3,Eric Meza,,United States,01-09-2001,2021,R,94 min,"Comedies, Music & Musicals",Adults
s148,TV Show,How to Be a Cowboy,Not Available,,Not Available,01-09-2001,2021,TV-PG,1 Season,Reality TV,Teens
s149,TV Show,HQ Barbers,Gerhard Mostert,,Not Available,01-09-2001,2021,TV-14,1 Season,TV Shows,Teens
s150,Movie,I Got the Hook Up,Michael Martin,,United States,01-09-2001,2021,R,93 min,"Action & Adventure, Comedies",Adults
s151,Movie,In Too Deep,Michael Rymer,,United States,01-09-2001,2021,R,97 min,Thrillers,Adults
s152,Movie,Initial D,"Andrew Lau Wai-keung, Alan Mak",,"China, Hong Kong",01-09-2001,2021,TV-14,109 min,"Action & Adventure, International Movies",Teens
s153,Movie,Janoskians: Untold and Untrue,Brett Weiner,,United States,01-09-2001,2021,TV-MA,88 min,Comedies,Adults
s154,TV Show,Kid-E-Cats,Not Available,,Russia,01-09-2001,2021,TV-Y,2 Seasons,Kids' TV,Kids
s155,TV Show,Kuroko's Basketball,Not Available,,Japan,01-09-2001,2021,TV-MA,3 Seasons,"Anime Series, International TV Shows, Teen TV Shows",Adults
s156,Movie,Labyrinth,Jim Henson,,"United Kingdom, United States",01-09-2001,2021,PG,101 min,"Action & Adventure, Children & Family Movies, Cult Movies",Teens
s157,Movie,Letters to Juliet,Gary Winick,,United States,01-09-2001,2021,PG,105 min,"Comedies, Dramas, Romantic Movies",Teens
s158,Movie,Level 16,Danishka Esterhazy,,Canada,01-09-2001,2021,TV-14,102 min,"Sci-Fi & Fantasy, Thrillers",Teens
s159,Movie,Love Don't Cost a Thing,Troy Byer,,United States,01-09-2001,2021,PG-13,101 min,"Comedies, Romantic Movies",Teens
s160,Movie,Love in a Puff,Pang Ho-cheung,,Hong Kong,01-09-2001,2021,TV-MA,103 min,"Comedies, Dramas, International Movies",Adults
s161,TV Show,Major Dad,Not Available,,United States,01-09-2001,2021,TV-PG,4 Seasons,TV Comedies,Teens
s162,Movie,Mars Attacks!,Tim Burton,,United States,01-09-2001,2021,PG-13,106 min,"Comedies, Cult Movies, Sci-Fi & Fantasy",Teens
s163,Movie,Marshall,Reginald Hudlin,,"United States, China, Hong Kong",01-09-2001,2021,PG-13,118 min,Dramas,Teens
s164,Movie,My Boss's Daughter,David Zucker,,United States,01-09-2001,2021,R,86 min,"Comedies, Romantic Movies",Adults
s165,Movie,Mystery Men,Kinka Usher,,United States,01-09-2001,2021,PG-13,121 min,"Action & Adventure, Comedies",Teens
s166,TV Show,Oldsters,Not Available,,Not Available,01-09-2001,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Adults
s167,Movie,Once Upon a Time in America,Sergio Leone,,"Italy, United States",01-09-2001,2021,R,229 min,"Classic Movies, Dramas",Adults
s168,Movie,Open Season 2,"Matthew O'Callaghan, Todd Wilderman",,"United States, Canada",01-09-2001,2021,PG,76 min,"Children & Family Movies, Comedies",Teens
s169,Movie,Osmosis Jones,"Bobby Farrelly, Peter Farrelly",,United States,01-09-2001,2021,PG,95 min,"Action & Adventure, Children & Family Movies, Comedies",Teens
s170,Movie,Poseidon,Wolfgang Petersen,,United States,01-09-2001,2021,PG-13,98 min,"Action & Adventure, Dramas",Teens
s171,Movie,Rhyme & Reason,Peter Spirer,,United States,01-09-2001,2021,R,89 min,"Documentaries, Music & Musicals",Adults
s172,Movie,Same Kind of Different as Me,Michael Carney,,United States,01-09-2001,2021,PG-13,120 min,"Dramas, Faith & Spirituality",Teens
s173,Movie,School of Rock,Richard Linklater,,"United States, Germany",01-09-2001,2021,PG-13,110 min,"Comedies, Music & Musicals",Teens
s174,Movie,Snervous Tyler Oakley,Amy Rice,,United States,01-09-2001,2021,PG-13,83 min,"Documentaries, LGBTQ Movies",Teens
s175,Movie,Tears of the Sun,Antoine Fuqua,,United States,01-09-2001,2021,R,121 min,"Action & Adventure, Dramas",Adults
s176,Movie,The Blue Lagoon,Randal Kleiser,,United States,01-09-2001,2021,R,105 min,"Dramas, Romantic Movies",Adults
s177,Movie,The Golden Child,Michael Ritchie,,United States,01-09-2001,2021,PG-13,94 min,"Action & Adventure, Comedies",Teens
s178,Movie,The Guns of Navarone,J. Lee Thompson,,"United Kingdom, United States",01-09-2001,2021,TV-14,156 min,"Action & Adventure, Classic Movies",Teens
s179,Movie,The Interview,"Evan Goldberg, Seth Rogen",,United States,01-09-2001,2021,R,112 min,"Action & Adventure, Comedies",Adults
s180,Movie,The Nutty Professor,Tom Shadyac,,United States,01-09-2001,2021,PG-13,95 min,"Comedies, Romantic Movies",Teens
s181,Movie,The Nutty Professor II: The Klumps,Peter Segal,,Not Available,01-09-2001,2021,PG-13,107 min,"Comedies, Romantic Movies",Teens
s182,TV Show,Turning Point: 9/11 and the War on Terror,Not Available,,Not Available,01-09-2001,2021,TV-14,1 Season,Docuseries,Teens
s183,Movie,Welcome Home Roscoe Jenkins,Malcolm D. Lee,,United States,01-09-2001,2021,PG-13,114 min,Comedies,Teens
s184,Movie,In the Line of Fire,Wolfgang Petersen,,United States,01-08-1931,2021,R,129 min,"Action & Adventure, Classic Movies",Adults
s185,TV Show,Sparking Joy,Not Available,,United States,01-08-1931,2021,TV-PG,1 Season,Reality TV,Teens
s186,Movie,Untold: Crime & Penalties,"Chapman Way, Maclain Way",,Not Available,01-08-1931,2021,TV-MA,86 min,"Documentaries, Sports Movies",Adults
s187,TV Show,Hometown Cha-Cha-Cha,Not Available,,Not Available,01-08-2029,2021,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",Teens
s188,TV Show,The Ingenuity of the Househusband,Not Available,,Not Available,01-08-2029,2021,TV-G,1 Season,"International TV Shows, TV Comedies",Adults
s189,Movie,2 Alone in Paris,"Ramzy Bedia, Éric Judor",,France,01-08-2028,2021,TV-MA,97 min,"Comedies, International Movies",Adults
s190,TV Show,Bread Barbershop,Not Available,,Not Available,01-08-2028,2021,TV-Y,2 Seasons,"Kids' TV, TV Comedies",Kids
s191,Movie,Thimmarusu,Sharan Koppisetty,,India,01-08-2028,2021,TV-14,125 min,"Dramas, International Movies",Teens
